play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
36,2019090802,JAX,KC,KC,away,JAX,JAX,35,9/8/19,900,1800,3600,Half1,0,1,0,1,NA,0,15:00,JAX 35,0,75,J.Lambo kicks 67 yards from JAX 35 to KC -2. M.Hardman to KC 25 for 27 yards (L.Jacobs).,kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137368,0.16263151,0.004440726,0.254178634,0.233081174,0.003655713,0.340638564,0,0,0.814998476,0.001186554,-0.001186554,0.001186554,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.Hardman,00-0035140,NA,NA,NA,NA,J.Lambo,00-0032087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAX,NA,00-0034428,NA,L.Jacobs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,27,NA,NA,NA,NA,0,NA,NA,0,0,0,0
58,2019090802,JAX,KC,KC,away,JAX,KC,75,9/8/19,896,1796,3596,Half1,0,1,0,1,1,0,14:56,KC 25,10,75,(14:56) (Shotgun) Dam.Williams up the middle to KC 24 for -1 yards (Q.Williams).,run,-1,1,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001395943,0.162604166,0.00443972,0.254097408,0.233101348,0.003655023,0.340706391,0,0,0.81618503,-0.90941159,0.908225036,-0.908225036,0.90941159,-0.90941159,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.500279689,0.499720311,0.499720311,0.500279689,-0.024116443,0.523836754,0.476163246,0.024116443,-0.024116443,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0030874,Dam.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0035680,Q.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAX,NA,00-0035680,NA,Q.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
79,2019090802,JAX,KC,KC,away,JAX,KC,76,9/8/19,856,1756,3556,Half1,0,1,0,1,2,0,14:16,KC 24,11,75,(14:16) (Shotgun) P.Mahomes pass short right to T.Hill to KC 32 for 8 yards (J.Ramsey).,pass,8,1,0,1,0,0,0,short,right,7,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001703187,0.193192326,0.006222647,0.302741772,0.208792064,0.003964821,0.283383183,0,0,-0.09322656,0.609611733,0.298613303,-0.298613303,0.90941159,-0.90941159,-0.609611733,0.609611733,-0.332534482,0.942146215,-0.332534482,0.942146215,0.332534482,-0.332534482,-0.942146215,0.942146215,0.332534482,-0.332534482,-0.942146215,0.942146215,0.476163246,0.523836754,0.523836754,0.476163246,0.020005349,0.503831404,0.496168596,0.024116443,-0.024116443,-0.020005349,0.020005349,-0.009343701,0.02934905,-0.009343701,0.02934905,0.009343701,-0.009343701,-0.02934905,0.02934905,0.009343701,-0.009343701,-0.02934905,0.02934905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0033873,P.Mahomes,00-0033040,T.Hill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAX,NA,00-0033055,NA,J.Ramsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
103,2019090802,JAX,KC,KC,away,JAX,KC,68,9/8/19,816,1716,3516,Half1,0,1,1,1,3,0,13:36,KC 32,3,75,"(13:36) (Shotgun) P.Mahomes pass short middle to S.Watkins for 68 yards, TOUCHDOWN.",pass,68,1,0,1,0,0,0,short,middle,7,61,NA,NA,NA,NA,NA,NA,3,3,0,NA,KC,3,3,0,6,0,0,0,6,0,6,0.001761331,0.179163826,0.00385164,0.272784574,0.201702973,0.003837311,0.336898345,0,0,0.516385173,6.483614827,-6.185001524,6.185001524,0.90941159,-0.90941159,-7.09322656,7.09322656,2.30561134,4.178003487,2.30561134,4.178003487,-1.973076857,1.973076857,-5.120149703,5.120149703,-1.973076857,1.973076857,-5.120149703,5.120149703,0.496168596,0.503831404,0.503831404,0.496168596,0.212259838,0.291571566,0.708428434,0.024116443,-0.024116443,-0.232265187,0.232265187,0.070482843,0.141776995,0.070482843,0.141776995,-0.061139142,0.061139142,-0.171126046,0.171126046,-0.061139142,0.061139142,-0.171126046,0.171126046,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0033873,P.Mahomes,00-0031325,S.Watkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
128,2019090802,JAX,KC,KC,away,JAX,JAX,15,9/8/19,804,1704,3504,Half1,0,1,1,1,NA,0,13:24,JAX 15,0,75,"H.Butker extra point is GOOD, Center-J.Winchester, Holder-D.Colquitt.",extra_point,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,good,NA,3,3,0,NA,NA,3,3,0,7,6,0,6,7,0,7,0,0,0,0,0,0,0,0.93111495,0,0.93111495,0.06888505,-6.253886574,6.253886574,0.90941159,-0.90941159,-7.09322656,7.09322656,NA,NA,0,0,-1.973076857,1.973076857,-5.120149703,5.120149703,-1.973076857,1.973076857,-5.120149703,5.120149703,0.708428434,0.291571566,0.291571566,0.708428434,0.004259139,0.287312427,0.712687573,0.024116443,-0.024116443,-0.232265187,0.232265187,NA,NA,0,0,-0.061139142,0.061139142,-0.171126046,0.171126046,-0.061139142,0.061139142,-0.171126046,0.171126046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H.Butker,00-0033303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
144,2019090802,JAX,KC,JAX,home,KC,KC,35,9/8/19,804,1704,3504,Half1,0,2,0,1,NA,0,13:24,KC 35,0,6,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.002020257,0.161956253,0.004416091,0.252204785,0.233536587,0.003638733,0.342227294,0,0,0.843343847,0,-6.253886574,6.253886574,0.90941159,-0.90941159,-7.09322656,7.09322656,NA,NA,0,0,-1.973076857,1.973076857,-5.120149703,5.120149703,-1.973076857,1.973076857,-5.120149703,5.120149703,0.287312427,0.712687573,0.287312427,0.712687573,0,0.287312427,0.712687573,0.024116443,-0.024116443,-0.232265187,0.232265187,NA,NA,0,0,-0.061139142,0.061139142,-0.171126046,0.171126046,-0.061139142,0.061139142,-0.171126046,0.171126046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H.Butker,00-0033303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
159,2019090802,JAX,KC,JAX,home,KC,JAX,75,9/8/19,804,1704,3504,Half1,0,2,0,1,1,0,13:24,JAX 25,10,6,(13:24) (Shotgun) L.Fournette left end to JAX 24 for -1 yards (A.Hitchens; D.Nnadi).,run,-1,1,0,0,0,0,0,NA,NA,NA,NA,left,end,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.002020257,0.161956253,0.004416091,0.252204785,0.233536587,0.003638733,0.342227294,0,0,0.843343847,-0.909379858,-7.163266433,7.163266433,3.17E-05,-3.17E-05,-7.09322656,7.09322656,NA,NA,0,0,-1.973076857,1.973076857,-5.120149703,5.120149703,-1.973076857,1.973076857,-5.120149703,5.120149703,0.287312427,0.712687573,0.287312427,0.712687573,-0.02700638,0.260306047,0.739693953,-0.002889937,0.002889937,-0.232265187,0.232265187,NA,NA,0,0,-0.061139142,0.061139142,-0.171126046,0.171126046,-0.061139142,0.061139142,-0.171126046,0.171126046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0033856,L.Fournette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0031348,A.Hitchens,KC,00-0034818,D.Nnadi,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
180,2019090802,JAX,KC,JAX,home,KC,JAX,76,9/8/19,767,1667,3467,Half1,0,2,0,1,2,0,12:47,JAX 24,11,6,(12:47) (Shotgun) N.Foles pass short right to D.Chark to JAX 31 for 7 yards (C.Ward; J.Thornhill).,pass,7,1,0,1,0,0,0,short,right,-1,8,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.002436943,0.192571324,0.006194586,0.300753346,0.209303681,0.003950264,0.284789855,0,0,-0.066036011,0.324156741,-6.839109692,6.839109692,3.17E-05,-3.17E-05,-6.76906982,6.76906982,-1.096828055,1.420984795,-1.096828055,1.420984795,-3.069904912,3.069904912,-3.699164908,3.699164908,-3.069904912,3.069904912,-3.699164908,3.699164908,0.260306047,0.739693953,0.260306047,0.739693953,0.011356349,0.271662396,0.728337604,-0.002889937,0.002889937,-0.220908838,0.220908838,-0.031419239,0.042775588,-0.031419239,0.042775588,-0.092558381,0.092558381,-0.128350457,0.128350457,-0.092558381,0.092558381,-0.128350457,0.128350457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,00-0029567,N.Foles,00-0034777,D.Chark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0034573,C.Ward,KC,00-0035625,J.Thornhill,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
204,2019090802,JAX,KC,JAX,home,KC,JAX,69,9/8/19,718,1618,3418,Half1,0,2,0,1,3,0,11:58,JAX 31,4,6,(11:58) (Shotgun) N.Foles pass incomplete deep right to C.Conley.,pass,0,1,0,1,0,0,0,deep,right,24,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.00265981,0.187297153,0.00420895,0.285321824,0.19945771,0.004014429,0.317040124,0,0,0.258120729,-1.859596313,-8.698706005,8.698706005,3.17E-05,-3.17E-05,-8.628666133,8.628666133,3.5025154,-5.362111712,0,0,-3.069904912,3.069904912,-3.699164908,3.699164908,0.432610487,-0.432610487,-9.06127662,9.06127662,0.271662396,0.728337604,0.271662396,0.728337604,-0.053297838,0.218364558,0.781635442,-0.002889937,0.002889937,-0.274206677,0.274206677,0.115282781,-0.16858062,0,0,-0.092558381,0.092558381,-0.128350457,0.128350457,0.0227244,-0.0227244,-0.296931077,0.296931077,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0029567,N.Foles,00-0032128,C.Conley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
226,2019090802,JAX,KC,JAX,home,KC,JAX,69,9/8/19,713,1613,3413,Half1,0,2,0,1,4,0,11:53,JAX 31,4,6,"(11:53) L.Cooke punts 48 yards to KC 21, Center-M.Orzech. T.Hill to KC 21 for no gain (J.Robinson).",punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.002958224,0.259370932,0.005076573,0.390629611,0.111461667,0.005341662,0.225161331,0,0,-1.601475584,1.119799446,-7.578906559,7.578906559,3.17E-05,-3.17E-05,-8.628666133,8.628666133,NA,NA,0,0,-3.069904912,3.069904912,-3.699164908,3.699164908,0.432610487,-0.432610487,-9.06127662,9.06127662,0.218364558,0.781635442,0.218364558,0.781635442,0.051250729,0.269615287,0.730384713,-0.002889937,0.002889937,-0.274206677,0.274206677,NA,NA,0,0,-0.092558381,0.092558381,-0.128350457,0.128350457,0.0227244,-0.0227244,-0.296931077,0.296931077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0033040,T.Hill,NA,NA,NA,NA,NA,NA,00-0034437,L.Cooke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAX,NA,00-0029691,NA,J.Robinson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
